ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.627207731,1.627167876
16,33554432,536870912,1.591270903,1.591269730
32,16777216,536870912,1.584893506,1.584891814
64,8388608,536870912,1.657233619,1.657231176
128,4194304,536870912,1.598595337,1.598588693
256,2097152,536870912,1.594705001,1.594695413
512,1048576,536870912,1.568670860,1.568653645
1024,524288,536870912,1.592622289,1.592589018
2048,262144,536870912,1.590018567,1.589949241
4096,131072,536870912,1.594900685,1.594769747
8192,65536,536870912,1.579758560,1.579495859
16384,32768,536870912,1.584572888,1.584039525
32768,16384,536870912,1.594731658,1.593591204
65536,8192,536870912,1.588604597,1.586290883
131072,4096,536870912,1.606086755,1.601504767
262144,2048,536870912,1.609098529,1.599874328
524288,1024,536870912,1.687264064,1.669973206
1048576,512,536870912,1.755288838,1.722073543
2097152,256,536870912,1.779256024,1.710728650
4194304,128,536870912,1.828004881,1.695050724
8388608,64,536870912,1.954238098,1.691461193
16777216,32,536870912,2.212377730,1.689068494
33554432,16,536870912,2.747369820,1.697605177
67108864,8,536870912,3.799522818,1.697696893
134217728,4,536870912,5.905682216,1.697266923
268435456,2,536870912,10.106235882,1.750510990
536870912,1,536870912,18.823782034,1.797921456
