ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.304276484,1.304274137
16,33554432,536870912,1.201138120,1.201136859
32,16777216,536870912,1.147291500,1.147287944
64,8388608,536870912,1.192905199,1.192902919
128,4194304,536870912,1.150712314,1.150708062
256,2097152,536870912,1.127624999,1.127613667
512,1048576,536870912,1.116992413,1.116975513
1024,524288,536870912,1.110441170,1.110409285
2048,262144,536870912,1.113905400,1.113840861
4096,131072,536870912,1.116889959,1.116764199
8192,65536,536870912,1.125817744,1.125545779
16384,32768,536870912,1.139783971,1.139254558
32768,16384,536870912,1.138791939,1.137653392
65536,8192,536870912,1.155646724,1.153411958
131072,4096,536870912,1.147518225,1.143009267
262144,2048,536870912,1.135075125,1.126219342
524288,1024,536870912,1.139749765,1.123456522
1048576,512,536870912,1.198014624,1.166192075
2097152,256,536870912,1.321714409,1.257494051
4194304,128,536870912,1.391481139,1.262976003
8388608,64,536870912,1.519226663,1.264581285
16777216,32,536870912,1.769568106,1.262159262
33554432,16,536870912,2.278475606,1.262821250
67108864,8,536870912,3.299015386,1.264950661
134217728,4,536870912,5.344659869,1.265460950
268435456,2,536870912,9.365299614,1.251077141
536870912,1,536870912,17.367549366,1.253649600
