ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.542087828,1.542053376
16,33554432,536870912,1.536086091,1.536084644
32,16777216,536870912,1.606834227,1.606832734
64,8388608,536870912,1.644314262,1.644311528
128,4194304,536870912,1.625509011,1.625502125
256,2097152,536870912,1.603816248,1.603806925
512,1048576,536870912,1.554540987,1.554523714
1024,524288,536870912,1.535393532,1.535359209
2048,262144,536870912,1.542939861,1.542873951
4096,131072,536870912,1.538762071,1.538632378
8192,65536,536870912,1.534362128,1.534110343
16384,32768,536870912,1.543234903,1.542705715
32768,16384,536870912,1.546500933,1.545390303
65536,8192,536870912,1.543384457,1.541192599
131072,4096,536870912,1.543526566,1.539096962
262144,2048,536870912,1.551930077,1.543086108
524288,1024,536870912,1.558064274,1.541644542
1048576,512,536870912,1.604126649,1.571805622
2097152,256,536870912,1.709765384,1.644047432
4194304,128,536870912,1.782888234,1.652077977
8388608,64,536870912,1.912673505,1.652288005
16777216,32,536870912,2.156401592,1.634505826
33554432,16,536870912,2.667210529,1.639905195
67108864,8,536870912,3.683313631,1.631189650
134217728,4,536870912,5.756583662,1.630915255
268435456,2,536870912,9.850409540,1.632041937
536870912,1,536870912,18.067650721,1.631319833
