ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.144647521,2.144645097
16,33554432,536870912,1.725019304,1.725017132
32,16777216,536870912,1.658350982,1.658345160
64,8388608,536870912,1.694827084,1.694823041
128,4194304,536870912,1.702851757,1.702845427
256,2097152,536870912,1.675485904,1.675468775
512,1048576,536870912,1.618500120,1.618474263
1024,524288,536870912,1.565263717,1.565197868
2048,262144,536870912,1.556650697,1.556572525
4096,131072,536870912,1.533153415,1.527935137
8192,65536,536870912,1.534187949,1.533894873
16384,32768,536870912,1.625036783,1.470706742
32768,16384,536870912,1.508005279,1.506697220
65536,8192,536870912,1.547112174,1.544534578
131072,4096,536870912,1.523662321,1.518586880
262144,2048,536870912,1.571258476,1.561187720
524288,1024,536870912,1.645725865,1.624597203
1048576,512,536870912,1.737129107,1.699743245
2097152,256,536870912,1.770780436,1.695967502
4194304,128,536870912,1.847954436,1.699271235
8388608,64,536870912,2.005128605,1.708248318
16777216,32,536870912,2.765478559,2.150486373
33554432,16,536870912,3.441471880,2.191174119
67108864,8,536870912,4.139041897,1.792855995
134217728,4,536870912,6.322094019,1.673223607
268435456,2,536870912,11.152609522,1.914169563
536870912,1,536870912,22.904874381,2.202816218
