Grid_NX,Grid_NY,Iter,Interp_Time_s
250,100,1,0.547000
250,100,2,0.552000
250,100,3,0.548000
250,100,4,0.543000
250,100,5,0.553000
250,100,6,0.548000
250,100,7,0.551000
250,100,8,0.549000
250,100,9,0.541000
250,100,10,0.552000
500,200,1,0.735000
500,200,2,0.728000
500,200,3,0.724000
500,200,4,0.722000
500,200,5,0.719000
500,200,6,0.725000
500,200,7,0.721000
500,200,8,0.728000
500,200,9,0.727000
500,200,10,0.726000
1000,400,1,0.773000
1000,400,2,0.763000
1000,400,3,0.768000
1000,400,4,0.759000
1000,400,5,0.772000
1000,400,6,0.769000
1000,400,7,0.761000
1000,400,8,0.771000
1000,400,9,0.758000
1000,400,10,0.774000
