Grid_NX,Grid_NY,Iter,Interp_Time_s
250,100,1,0.260000
250,100,2,0.259000
250,100,3,0.264000
250,100,4,0.262000
250,100,5,0.261500
250,100,6,0.261000
250,100,7,0.266000
250,100,8,0.262000
250,100,9,0.259500
250,100,10,0.260000
500,200,1,0.288000
500,200,2,0.288000
500,200,3,0.286000
500,200,4,0.286500
500,200,5,0.289000
500,200,6,0.287500
500,200,7,0.288000
500,200,8,0.287000
500,200,9,0.293000
500,200,10,0.295000
1000,400,1,1.083000
1000,400,2,1.081000
1000,400,3,1.073000
1000,400,4,1.079000
1000,400,5,1.082000
1000,400,6,1.081000
1000,400,7,1.079000
1000,400,8,1.078000
1000,400,9,1.083000
1000,400,10,1.078000
