Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.112000,0.238000,0.172000,0.044000,0.348000,0.154000,5.5000
2,0.111000,0.515000,0.158000,0.041500,0.618000,0.152000,12.4500
3,0.109000,0.508000,0.182000,0.048000,0.623000,0.159000,10.5500
4,0.113000,0.512000,0.168000,0.042000,0.621000,0.152000,12.2500
5,0.111000,0.509000,0.161000,0.041000,0.619000,0.151500,12.4800
6,0.108000,0.511000,0.171000,0.041500,0.618500,0.151500,12.4000
7,0.111500,0.509000,0.159000,0.041500,0.621000,0.152000,12.2000
8,0.118000,0.512000,0.162000,0.041000,0.632000,0.161500,12.4700
9,0.109500,0.509500,0.159500,0.041200,0.619500,0.150500,12.4600
10,0.111000,0.510500,0.159000,0.041000,0.621500,0.151000,12.4200
