Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.148000,0.332000,0.102000,0.026000,0.480000,0.178000,12.8500
2,0.195000,0.336000,0.101000,0.025500,0.531000,0.222500,13.2000
3,0.191000,0.320000,0.096000,0.024000,0.511000,0.215000,13.1000
4,0.188000,0.322000,0.098000,0.025000,0.510000,0.212000,13.0500
5,0.187000,0.318000,0.093000,0.024000,0.503000,0.210500,13.3000
6,0.190000,0.317000,0.101000,0.025500,0.507000,0.214000,12.5500
7,0.188500,0.315000,0.095000,0.024000,0.503500,0.213500,13.0000
8,0.189000,0.316000,0.114000,0.029000,0.505000,0.218000,11.0000
9,0.188000,0.314000,0.100000,0.025000,0.502000,0.213000,12.5500
10,0.191000,0.317000,0.095000,0.024000,0.508000,0.215000,13.0800
