Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.113000,0.239000,0.171500,0.044500,0.352000,0.154500,5.5200
2,0.112000,0.512000,0.159000,0.041200,0.622000,0.152500,12.4300
3,0.108500,0.507000,0.181000,0.048500,0.615000,0.159500,10.4800
4,0.114000,0.513000,0.167000,0.042500,0.623000,0.152500,12.2800
5,0.110500,0.508000,0.160000,0.041500,0.618500,0.152000,12.4600
6,0.107500,0.511500,0.170000,0.041000,0.621000,0.151000,12.4100
7,0.111000,0.509500,0.158000,0.042000,0.619500,0.152500,12.1900
8,0.119500,0.513000,0.161000,0.041500,0.632500,0.162000,12.4600
9,0.109000,0.510000,0.158500,0.041300,0.620000,0.151500,12.4400
10,0.110500,0.510000,0.159000,0.041100,0.620000,0.151100,12.4100
