Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.149000,0.331500,0.101000,0.026500,0.481000,0.177500,12.8600
2,0.197000,0.335000,0.102000,0.025400,0.532000,0.222000,13.1400
3,0.190000,0.319000,0.096500,0.024500,0.509000,0.214500,13.0900
4,0.186000,0.321000,0.097000,0.025000,0.507000,0.211500,13.0200
5,0.185000,0.317500,0.093500,0.023500,0.502500,0.209000,13.2700
6,0.189000,0.316500,0.100500,0.025000,0.506000,0.213000,12.5300
7,0.190000,0.314000,0.094000,0.024000,0.504000,0.212000,13.0300
8,0.187000,0.315000,0.113000,0.029000,0.502000,0.214000,11.0200
9,0.186000,0.313500,0.099000,0.025000,0.499000,0.211500,12.5600
10,0.191500,0.316000,0.095000,0.024000,0.507500,0.214000,13.0600
