Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.000000,0.000000,0.000000
250,100,1000000,0.039820,0.140840,0.180660
250,100,100000000,5.441825,13.885320,19.327145
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.010000,0.010000
500,200,1000000,0.089460,0.129740,0.219200
500,200,100000000,7.178400,13.695000,20.873400
1000,400,100,0.000000,0.000000,0.000000
1000,400,10000,0.000000,0.000000,0.000000
1000,400,1000000,0.090540,0.120960,0.211500
1000,400,100000000,7.695215,13.802320,21.497535
