Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000004,0.000008,0.000012
250,100,10000,0.000270,0.000670,0.000939
250,100,1000000,0.027419,0.068745,0.096164
250,100,100000000,2.600223,6.905438,9.505660
500,200,100,0.000005,0.000010,0.000015
500,200,10000,0.000285,0.000631,0.000916
500,200,1000000,0.029313,0.063115,0.092428
500,200,100000000,2.869831,6.781125,9.650955
1000,400,100,0.000013,0.000009,0.000022
1000,400,10000,0.001080,0.000606,0.001686
1000,400,1000000,0.109097,0.063720,0.172817
1000,400,100000000,10.846989,6.785736,17.632725
