Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.000000,0.000000,0.000000
250,100,1000000,0.059640,0.119040,0.178680
250,100,100000000,5.423680,12.680640,18.104320
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.000000,0.000000
500,200,1000000,0.070420,0.120240,0.190660
500,200,100000000,7.068050,12.210000,19.278050
1000,400,100,0.000000,0.000000,0.000000
1000,400,10000,0.010015,0.000000,0.010015
1000,400,1000000,0.010045,0.188860,0.198905
1000,400,100000000,7.614040,12.102400,19.716440
