Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000006,0.000010,0.000016
250,100,10000,0.000279,0.000655,0.000935
250,100,1000000,0.029588,0.065105,0.094693
250,100,100000000,2.680528,6.089185,8.769712
500,200,100,0.000005,0.000010,0.000015
500,200,10000,0.000279,0.000602,0.000880
500,200,1000000,0.028794,0.059106,0.087900
500,200,100000000,2.995405,6.164536,9.159942
1000,400,100,0.000012,0.000008,0.000020
1000,400,10000,0.001051,0.000583,0.001633
1000,400,1000000,0.105537,0.058657,0.164195
1000,400,100000000,10.580596,6.046475,16.627071
