Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.811215,2.136996,2.948211,1.0000
250,100,2,0.765380,1.066568,1.831948,2.0036
250,100,4,0.790000,0.671461,1.461461,3.1826
250,100,8,0.845040,0.444612,1.289652,4.8064
250,100,16,0.978530,0.662584,1.641114,3.2252
500,200,1,1.024590,1.948393,2.972983,1.0000
500,200,2,0.997000,1.187616,2.184616,1.6406
500,200,4,1.023060,0.693641,1.716701,2.8089
500,200,8,1.085095,0.462056,1.547151,4.2168
500,200,16,1.171755,0.620428,1.792183,3.1404
1000,400,1,1.053640,1.874286,2.927926,1.0000
1000,400,2,1.290000,1.330252,2.620252,1.4090
1000,400,4,1.257500,0.925849,2.183349,2.0244
1000,400,8,1.148275,0.440569,1.588844,4.2542
1000,400,16,1.245580,0.508986,1.754566,3.6824
