Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.381412,1.010373,1.391785,1.0000
250,100,2,0.474310,0.567241,1.041551,1.7812
250,100,4,0.734979,0.413039,1.148018,2.4462
250,100,8,1.214553,0.387461,1.602014,2.6077
250,100,16,0.384414,0.397575,0.781989,2.5413
500,200,1,0.410235,0.994625,1.404860,1.0000
500,200,2,0.537998,0.601672,1.139670,1.6531
500,200,4,0.760086,0.409824,1.169910,2.4270
500,200,8,1.240196,0.391344,1.631539,2.5416
500,200,16,0.419075,0.399036,0.818111,2.4926
1000,400,1,1.514243,0.958396,2.472639,1.0000
1000,400,2,1.616565,0.543455,2.160020,1.7635
1000,400,4,1.837908,0.369613,2.207521,2.5930
1000,400,8,2.355922,0.375251,2.731173,2.5540
1000,400,16,1.470195,0.388862,1.859057,2.4646
