Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.377707,0.835097,1.212804,1.0000
250,100,2,0.510501,0.448811,0.959312,1.8607
250,100,4,0.709696,0.244253,0.953949,3.4190
250,100,8,1.219738,0.241699,1.461437,3.4551
250,100,16,0.418928,0.284658,0.703587,2.9337
500,200,1,0.427554,0.868195,1.295749,1.0000
500,200,2,0.510798,0.413685,0.924482,2.0987
500,200,4,0.741352,0.242302,0.983655,3.5831
500,200,8,1.273464,0.257095,1.530559,3.3769
500,200,16,0.425447,0.267517,0.692964,3.2454
1000,400,1,1.396952,0.892821,2.289773,1.0000
1000,400,2,1.645025,0.445602,2.090627,2.0036
1000,400,4,1.860148,0.237617,2.097765,3.7574
1000,400,8,2.348160,0.242316,2.590476,3.6845
1000,400,16,1.496894,0.250058,1.746952,3.5705
