Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.740000,1.701653,2.441653,1.0000
250,100,2,0.774620,0.881737,1.656357,1.9299
250,100,4,0.768845,0.449277,1.218122,3.7875
250,100,8,0.863870,0.315633,1.179503,5.3912
250,100,16,0.977060,0.237363,1.214423,7.1690
500,200,1,1.003000,1.713140,2.716140,1.0000
500,200,2,0.995500,0.889323,1.884823,1.9263
500,200,4,1.021530,0.589275,1.610805,2.9072
500,200,8,1.083460,0.351342,1.434802,4.8760
500,200,16,1.220000,0.227786,1.447786,7.5208
1000,400,1,1.106600,1.696966,2.803566,1.0000
1000,400,2,1.108335,0.881596,1.989931,1.9249
1000,400,4,1.145130,0.473561,1.618691,3.5834
1000,400,8,1.186430,0.252646,1.439076,6.7168
1000,400,16,1.253750,0.238728,1.492478,7.1084
