Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.872610,2.431457,3.304067,1.0000
250,100,2,0.756580,1.219781,1.976361,1.9934
250,100,4,0.791185,0.618204,1.409389,3.9331
250,100,8,0.825020,0.321266,1.146286,7.5684
250,100,16,0.970000,0.252231,1.222231,9.6398
500,200,1,1.006000,2.255920,3.261920,1.0000
500,200,2,1.008485,1.137743,2.146228,1.9828
500,200,4,1.004500,0.582087,1.586587,3.8756
500,200,8,1.076760,0.325787,1.402547,6.9245
500,200,16,1.233690,0.256774,1.490464,8.7856
1000,400,1,1.065185,2.279299,3.344484,1.0000
1000,400,2,1.111665,1.143942,2.255607,1.9925
1000,400,4,1.103340,0.580084,1.683424,3.9293
1000,400,8,1.180000,0.349242,1.529242,6.5264
1000,400,16,1.287680,0.247496,1.535176,9.2094
