Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.378352,0.853673,1.232024,1.0000
250,100,2,0.475132,0.433949,0.909082,1.9672
250,100,4,0.707004,0.243195,0.950199,3.5102
250,100,8,1.207136,0.239271,1.446406,3.5678
250,100,16,0.369802,0.250175,0.619977,3.4123
500,200,1,0.398021,0.837400,1.235421,1.0000
500,200,2,0.513967,0.436226,0.950193,1.9196
500,200,4,0.731568,0.241318,0.972886,3.4701
500,200,8,1.259880,0.234128,1.494008,3.5767
500,200,16,0.411009,0.248027,0.659036,3.3762
1000,400,1,1.480546,0.826389,2.306935,1.0000
1000,400,2,1.597462,0.434308,2.031770,1.9028
1000,400,4,1.821342,0.244065,2.065407,3.3859
1000,400,8,2.329947,0.243339,2.573286,3.3960
1000,400,16,1.512752,0.253041,1.765793,3.2658
