nx,ny,num_points,threads,total_interpolation_time_seconds
250,100,900000,1,0.079165
250,100,900000,2,0.045978
250,100,900000,4,0.030192
250,100,900000,8,0.030270
250,100,900000,16,0.031522
250,100,5000000,1,0.424429
250,100,5000000,2,0.211133
250,100,5000000,4,0.126882
250,100,5000000,8,0.115103
250,100,5000000,16,0.105428
500,200,3600000,1,0.329500
500,200,3600000,2,0.191965
500,200,3600000,4,0.112980
500,200,3600000,8,0.127678
500,200,3600000,16,0.112766
500,200,20000000,1,1.738493
500,200,20000000,2,0.842995
500,200,20000000,4,0.478682
500,200,20000000,8,0.469773
500,200,20000000,16,0.421458
1000,400,14000000,1,1.885492
1000,400,14000000,2,0.999867
1000,400,14000000,4,0.588254
1000,400,14000000,8,0.625826
1000,400,14000000,16,0.763433
