nx,ny,num_points,threads,interpolation_time_seconds,normalization_time_seconds,mover_time_seconds,denormalization_time_seconds,total_algorithm_time_seconds,void_count
250,100,900000,1,0.254002,0.001588,0.288764,0.000812,0.545167,2
250,100,900000,2,0.125044,0.000846,0.143644,0.000773,0.270307,2
250,100,900000,4,0.081678,0.000542,0.077595,0.000506,0.160321,2
250,100,900000,8,0.043687,0.000356,0.041299,0.000410,0.085751,2
250,100,900000,16,0.051553,0.000388,0.039658,0.000635,0.092233,2
250,100,5000000,1,1.329487,0.001543,1.533123,0.000788,2.864940,15
250,100,5000000,2,0.723702,0.000895,0.840525,0.001137,1.566259,15
250,100,5000000,4,0.363925,0.000496,0.425208,0.000659,0.790288,15
250,100,5000000,8,0.190403,0.000373,0.213651,0.000338,0.404765,15
250,100,5000000,16,0.176561,0.000401,0.191891,0.001023,0.369875,15
500,200,3600000,1,1.475105,0.006184,1.667644,0.003343,3.152275,3
500,200,3600000,2,1.387534,0.003353,1.570079,0.002769,2.963735,3
500,200,3600000,4,0.510271,0.002761,0.595872,0.002640,1.111544,3
500,200,3600000,8,0.277594,0.001037,0.295417,0.001976,0.576024,3
500,200,3600000,16,0.299049,0.001518,0.200671,0.001190,0.502429,3
500,200,20000000,1,7.018831,0.006056,7.574708,0.003088,14.602683,7
500,200,20000000,2,3.944396,0.003040,4.710202,0.001760,8.659399,7
500,200,20000000,4,2.449467,0.001884,2.809901,0.001882,5.263135,7
500,200,20000000,8,1.474730,0.001264,1.705231,0.001511,3.182736,7
500,200,20000000,16,1.213499,0.001202,1.105306,0.001629,2.321637,7
1000,400,14000000,1,9.327479,0.027779,11.393762,0.012582,20.761602,0
1000,400,14000000,2,3.651506,0.016029,3.400432,0.007976,7.075943,0
1000,400,14000000,4,2.458030,0.006602,2.182829,0.004181,4.651641,0
1000,400,14000000,8,3.527483,0.004900,1.778104,0.005254,5.315740,0
1000,400,14000000,16,3.472715,0.059203,0.876127,0.026584,4.434630,0
