nx,ny,num_points,threads,interpolation_time_seconds,normalization_time_seconds,mover_time_seconds,denormalization_time_seconds,total_algorithm_time_seconds,void_count
250,100,900000,1,0.087387,0.000521,0.095928,0.000291,0.184127,1
250,100,900000,2,0.046328,0.000351,0.050728,0.000199,0.097605,1
250,100,900000,4,0.024750,0.000230,0.027876,0.000123,0.052979,1
250,100,900000,8,0.021924,0.000152,0.023109,0.000090,0.045275,1
250,100,900000,16,0.024366,0.000875,0.027768,0.000621,0.053630,1
250,100,5000000,1,0.444530,0.000572,0.496714,0.000241,0.942057,13
250,100,5000000,2,0.222530,0.000315,0.246121,0.000194,0.469159,13
250,100,5000000,4,0.117219,0.000215,0.137854,0.000117,0.255406,13
250,100,5000000,8,0.117147,0.000159,0.135476,0.000099,0.252881,13
250,100,5000000,16,0.102360,0.005271,0.137491,0.001171,0.246293,13
500,200,3600000,1,0.351678,0.002396,0.380803,0.001081,0.735959,2
500,200,3600000,2,0.170616,0.001362,0.184739,0.000762,0.357478,2
500,200,3600000,4,0.097169,0.000781,0.106862,0.000463,0.205276,2
500,200,3600000,8,0.091443,0.000520,0.101015,0.000285,0.193263,2
500,200,3600000,16,0.087915,0.002245,0.101244,0.000883,0.192287,2
500,200,20000000,1,1.958172,0.002432,2.171771,0.001205,4.133580,9
500,200,20000000,2,1.009545,0.001474,1.094345,0.000762,2.106126,9
500,200,20000000,4,0.530793,0.000812,0.584641,0.000444,1.116689,9
500,200,20000000,8,0.480770,0.000526,0.566514,0.002108,1.049918,9
500,200,20000000,16,0.405528,0.001994,0.534868,0.006372,0.948762,9
1000,400,14000000,1,1.912558,0.009294,1.834783,0.004478,3.761112,1
1000,400,14000000,2,0.973309,0.005022,0.868254,0.003239,1.849824,1
1000,400,14000000,4,0.587234,0.002636,0.490682,0.001778,1.082330,1
1000,400,14000000,8,1.124450,0.002628,0.461584,0.001969,1.590632,1
1000,400,14000000,16,1.788058,0.004671,0.409136,0.002441,2.204306,1
