config,total_cores,ranks,threads,interp,norm,mover,denorm,total,scat,ar_mesh,ar_mm,voids,wall,max_abs,max_rel,speedup,efficiency
a,1,1,1,0.108593,0.000473,0.140850,0.000223,0.250139,0.004058,0.000004,0.000012,2,0.783042,0.0,0.0,,
a,2,1,2,0.058161,0.000515,0.074708,0.000293,0.133677,0.004098,0.000004,0.000011,2,0.632006,0.0,0.0,1.871219431914,93.560971595712
a,4,1,4,0.033730,0.000586,0.041501,0.000321,0.076138,0.004100,0.000005,0.000014,2,0.585692,0.0,0.0,3.285337150963,82.133428774068
a,8,1,8,0.027400,0.000643,0.030705,0.000340,0.059088,0.003935,0.000007,0.000008,2,0.507362,0.0,0.0,4.233329948551,52.916624356891
a,16,2,8,0.016272,0.000865,0.018073,0.000370,0.035580,0.005374,0.003025,0.000335,2,0.756572,0.0,0.0,7.030326025857,43.939537661608
a,32,4,8,0.095552,0.001139,0.037778,0.000423,0.134892,0.006439,0.077995,0.000654,2,2.203695,0.0,0.0,1.85436497346,5.794890542063
a,64,8,8,0.078717,0.002210,0.034467,0.000344,0.115738,0.009700,0.072838,0.001722,2,2.554245,0.0,0.0,2.161252138451,3.376956466329
b,1,1,1,0.600776,0.000480,0.779852,0.000228,1.381336,0.020707,0.000005,0.000014,26,2.055402,0.0,0.0,,
b,2,1,2,0.324650,0.000521,0.404754,0.000291,0.730216,0.020681,0.000006,0.000006,26,1.456613,0.0,0.0,1.891681365514,94.584068275688
b,4,1,4,0.189909,0.000572,0.233636,0.000316,0.424433,0.020732,0.000008,0.000012,26,1.121055,0.0,0.0,3.254544297922,81.363607448054
b,8,1,8,0.126898,0.000630,0.142543,0.000335,0.270406,0.020717,0.000005,0.000013,26,1.051754,0.0,0.0,5.108377772683,63.854722158532
b,16,2,8,0.074415,0.000771,0.079870,0.000339,0.155395,0.023634,0.004751,0.000201,26,1.210859,0.0,0.0,8.889192058947,55.557450368416
b,32,4,8,0.127486,0.001202,0.098864,0.000410,0.227962,0.033343,0.083251,0.000703,26,3.045927,0.0,0.0,6.059501144928,18.935941077899
b,64,8,8,0.103971,0.001440,0.054250,0.000452,0.160113,0.033952,0.086740,0.000948,26,2.883351,0.0,0.0,8.627256999744,13.4800890621
c,1,1,1,0.694587,0.001510,0.736297,0.000552,1.432946,0.014994,0.000005,0.000014,1,1.989240,0.0,0.0,,
c,2,1,2,0.367782,0.001555,0.388771,0.000810,0.758918,0.014769,0.000005,0.000011,1,1.447350,0.0,0.0,1.88814338308,94.40716915398
c,4,1,4,0.209394,0.001732,0.215257,0.000907,0.427290,0.014837,0.000004,0.000014,1,1.017615,0.0,0.0,3.353567834492,83.839195862295
c,8,1,8,0.137999,0.001903,0.138994,0.000980,0.279876,0.014823,0.000009,0.000010,1,0.949760,0.0,0.0,5.119931684031,63.999146050394
c,16,2,8,0.077608,0.002018,0.073235,0.000982,0.153843,0.016924,0.005854,0.000186,1,1.085845,0.0,0.0,9.314339943969,58.214624649805
c,32,4,8,0.160717,0.003159,0.102040,0.001071,0.266987,0.023927,0.110370,0.001546,1,2.492576,0.0,0.0,5.3671002708,16.772188346249
c,64,8,8,0.124220,0.003394,0.060179,0.001062,0.188855,0.027466,0.109384,0.001694,1,2.731162,0.0,0.0,7.5875460009,11.855540626407
d,1,1,1,3.834671,0.001658,4.085449,0.000565,7.922343,0.083347,0.000005,0.000023,8,9.179663,0.0,0.0,,
d,2,1,2,2.012561,0.001615,2.160467,0.000826,4.175469,0.082787,0.000006,0.000023,8,5.607299,0.0,0.0,1.897354045737,94.867702286857
d,4,1,4,1.094179,0.001727,1.182648,0.000899,2.279453,0.083603,0.000007,0.000018,8,3.869126,0.0,0.0,3.475545668193,86.88864170483
d,8,1,8,0.689813,0.001925,0.778598,0.000977,1.471313,0.082964,0.000005,0.000017,8,3.209805,0.0,0.0,5.384539523541,67.306744044265
d,16,2,8,0.346493,0.001989,0.397260,0.000993,0.746735,0.093870,0.006938,0.000155,8,2.781766,0.0,0.0,10.609309862267,66.308186639169
d,32,4,8,0.374749,0.004248,0.325697,0.001028,0.705722,0.106287,0.193625,0.002625,8,4.539815,0.0,0.0,11.225869393331,35.080841854158
d,64,8,8,0.249677,0.004517,0.210196,0.001060,0.465450,0.121948,0.163525,0.002869,8,4.043914,0.0,0.0,17.020825008057,26.595039075089
e,1,1,1,2.748603,0.005606,2.823877,0.001860,5.579946,0.057967,0.000009,0.000023,2,6.732962,0.0,0.0,,
e,2,1,2,1.445028,0.002973,1.495231,0.001601,2.944833,0.057466,0.000005,0.000018,2,4.174111,0.0,0.0,1.894825954477,94.741297723844
e,4,1,4,0.820750,0.001724,0.824519,0.001081,1.648074,0.058223,0.000014,0.000017,2,2.923512,0.0,0.0,3.38573753363,84.643438340754
e,8,1,8,1.203934,0.001522,0.543539,0.000887,1.749882,0.057894,0.000013,0.000013,2,3.066151,0.0,0.0,3.188755584662,39.859444808279
e,16,2,8,0.635183,0.001232,0.278940,0.001585,0.916940,0.065346,0.017856,0.000064,2,2.434425,0.0,0.0,6.085399262765,38.033745392283
e,32,4,8,0.628142,0.066152,0.309408,0.035902,1.039604,0.074572,0.279845,0.031844,2,4.063697,0.0,0.0,5.3673764241,16.773051325312
e,64,8,8,0.368769,0.063064,0.167410,0.035853,0.635096,0.082991,0.255791,0.033312,2,4.217835,0.0,0.0,8.785988260043,13.728106656317
